home_team,away_team,start_time,date,odds_home,odds_draw,odds_away,category,market,over,under,source
Arsenal,West Ham,16:00,Sat (04 Oct),1.19,6.5,15.0,Soccer / England / Premier League,Match Result,2.33,1.6,SunBet
Manchester United,Sunderland,16:00,Sat (04 Oct),1.55,4.35,5.6,Soccer / England / Premier League,Match Result,1.64,2.25,SunBet
Chelsea,Liverpool,18:30,Sat (04 Oct),2.9,3.7,2.25,Soccer / England / Premier League,Match Result,2.28,1.64,SunBet
Aston Villa,Burnley,15:00,Sun (05 Oct),1.57,4.0,6.0,Soccer / England / Premier League,Match Result,1.87,1.93,SunBet
Everton,Crystal Palace,15:00,Sun (05 Oct),2.5,3.25,2.95,Soccer / England / Premier League,Match Result,2.25,1.65,SunBet
Newcastle United,Nottingham Forest,15:00,Sun (05 Oct),1.54,4.35,5.75,Soccer / England / Premier League,Match Result,1.66,2.23,SunBet
Wolves,Brighton,15:00,Sun (05 Oct),3.55,3.55,2.05,Soccer / England / Premier League,Match Result,1.86,1.95,SunBet
Brentford,Manchester City,17:30,Sun (05 Oct),5.0,4.5,1.58,Soccer / England / Premier League,Match Result,2.33,1.61,SunBet
Nottingham Forest,Chelsea,13:30,Sat (18 Oct),3.25,3.65,2.12,Soccer / England / Premier League,Match Result,1.75,2.07,SunBet
Brighton,Newcastle United,16:00,Sat (18 Oct),2.43,3.6,2.75,Soccer / England / Premier League,Match Result,1.83,1.97,SunBet
Burnley,Leeds United,16:00,Sat (18 Oct),2.95,3.35,2.4,Soccer / England / Premier League,Match Result,2.1,1.73,SunBet
Crystal Palace,Bournemouth,16:00,Sat (18 Oct),2.17,3.65,3.1,Soccer / England / Premier League,Match Result,1.86,1.94,SunBet
Manchester City,Everton,16:00,Sat (18 Oct),1.41,4.75,7.5,Soccer / England / Premier League,Match Result,1.64,2.25,SunBet
Sunderland,Wolves,16:00,Sat (18 Oct),2.23,3.35,3.3,Soccer / England / Premier League,Match Result,2.2,1.67,SunBet
Fulham,Arsenal,18:30,Sat (18 Oct),5.1,4.0,1.65,Soccer / England / Premier League,Match Result,1.92,1.89,SunBet
Tottenham,Aston Villa,15:00,Sun (19 Oct),2.1,3.55,3.4,Soccer / England / Premier League,Match Result,1.85,1.95,SunBet
Liverpool,Manchester United,17:30,Sun (19 Oct),1.5,4.7,5.8,Soccer / England / Premier League,Match Result,1.55,2.45,SunBet
West Ham,Brentford,21:00,Mon (20 Oct),2.23,3.55,3.1,Soccer / England / Premier League,Match Result,1.87,1.93,SunBet
